"","Position","Age","League_from","League_to","Season","Market_value","Transfer_fee","Price_diff"
"2039","Centre-Back",23,"Premier League","Premier League","2008",4,10,6
"2040","Centre-Back",23,"Premier League","Premier League","2008",3.5,10,6.5
"2041","Left Winger",26,"LaLiga","Premier League","2008",12,9.8,-2.2
"2042","Defensive Midfield",28,"LaLiga","Serie A","2008",11,9.75,-1.25
"2043","Centre-Forward",28,"LaLiga2","LaLiga","2008",12,9,-3
"2044","Centre-Forward",24,"Serie A","Serie A","2008",10,9,-1
"2045","Attacking Midfield",23,"Serie A","Bundesliga","2008",10,9,-1
"2046","Goalkeeper",32,"Premier League","Premier League","2008",7.5,9,1.5
"2047","Right Winger",26,"Ligue 1","Ligue 1","2008",7.5,9,1.5
"2048","Goalkeeper",27,"Eredivisie","Premier League","2008",7.5,9,1.5
"2049","Left Midfield",26,"Serie A","Premier League","2008",6.5,9,2.5
"2050","Centre-Forward",21,"Serie A","Premier Liga","2008",6,9,3
"2051","Centre-Forward",28,"Ligue 1"," Qatar","2008",4.5,9,4.5
"2052","Centre-Forward",21,"Serie A","Super League","2008",4,9,5
"2053","Centre-Forward",26,"Serie A","Serie A","2008",12,8.75,-3.25
"2054","Right-Back",23,"LaLiga","Premier League","2008",8,8.7,0.699999999999999
"2055","Goalkeeper",21,"Ligue 1","Ligue 1","2008",8.5,8.5,0
"2056","Centre-Back",22,"Bundesliga","Premier League","2008",8,8.5,0.5
"2057","Defensive Midfield",25,"Ligue 1","LaLiga","2008",7,8.5,1.5
"2058","Right-Back",24,"Serie A","LaLiga","2008",6,8.5,2.5
"2059","Right Winger",19,"Serie B","Premier League","2008",1.5,8.5,7
"2060","Centre-Back",25,"Ligue 1","Ligue 1","2008",7.5,8.4,0.9
"2061","Left-Back",22,"Bundesliga","Bundesliga","2008",10,8,-2
"2062","Right-Back",26,"Serie A","Serie A","2008",9,8,-1
"2063","Centre-Forward",18,"SuperLiga","Serie A","2008",7,8,1
"2064","Centre-Forward",22,"Serie A","Ligue 1","2008",6,8,2
"2065","Centre-Back",21," Brazil","LaLiga","2008",6,8,2
"2066","Centre-Forward",21,"Ligue 1","Ligue 1","2008",6,8,2
"2067","Attacking Midfield",24,"Serie A"," United Arab Emirates","2008",5.5,8,2.5
"2068","Right Winger",25,"Ligue 1"," Qatar","2008",5,8,3
"2069","Attacking Midfield",24,"Ligue 1","Ligue 1","2008",5,8,3
"2070","Defensive Midfield",25,"LaLiga","Serie A","2008",5,8,3
"2071","Attacking Midfield",21,"Torneo Final","LaLiga","2008",4.45,8,3.55
"2072","Centre-Back",25,"Serie A","Serie A","2008",3.5,7.85,4.35
"2073","Central Midfield",23,"Serie A","Serie A","2008",9.5,7.5,-2
"2074","Attacking Midfield",28,"LaLiga2","Liga NOS","2008",8,7.5,-0.5
"2075","Central Midfield",18,"Ligue 2","Ligue 1","2008",5.5,7.5,2
"2076","Goalkeeper",24,"Torneo Final","Serie A","2008",5.3,7.5,2.2
"2077","Centre-Forward",27,"Bundesliga","Bundesliga","2008",9.5,7.3,-2.2
"2078","Centre-Forward",26,"Torneo Final","Serie A","2008",8.25,7.1,-1.15
"2079","Attacking Midfield",26,"Ligue 1","LaLiga","2008",10,7,-3
"2080","Centre-Back",26,"Serie A","Bundesliga","2008",7,7,0
"2081","Centre-Forward",25,"Premier League","Serie A","2008",6.5,7,0.5
"2082","Left Winger",19,"Torneo Final","LaLiga","2008",6.5,7,0.5
"2083","Defensive Midfield",24,"LaLiga","Ligue 1","2008",6,7,1
"2084","Centre-Forward",24,"Torneo Final","Eredivisie","2008",4.8,7,2.2
"2085","Centre-Back",24,"Serie B","Serie A","2008",4.3,7,2.7
"2086","Centre-Forward",28,"Championship","Premier League","2008",4.25,7,2.75
"2087","Right Winger",21,"SuperLiga","Premier League","2008",4.25,7,2.75
"2088","Centre-Forward",23,"Serie A","Serie A","2008",4,7,3
"2089","Left Midfield",22,"Ligue 1","Liga NOS","2008",3.5,7,3.5
"2090","Left Winger",20,"Torneo Final","LaLiga","2008",2.9,7,4.1
"2091","Centre-Back",18,"Serie A","Liga NOS","2008",1.5,7,5.5
"2092","Centre-Forward",30,"Serie A"," Qatar","2008",1,7,6
"2093","Central Midfield",21,"Serie B","Serie A","2008",4,6.7,2.7
"2094","Goalkeeper",25,"Serie B","Serie A","2008",1,6.7,5.7
"2095","Centre-Back",27,"Ligue 1","LaLiga","2008",15,6.5,-8.5
"2096","Left Winger",22,"Ligue 1","Ligue 1","2008",6,6.5,0.5
"2097","Centre-Forward",18,"MLS","LaLiga","2008",1.75,6.5,4.75
"2098","Right Winger",22,"Premier League","Premier League","2008",7,6.4,-0.6
"2099","Central Midfield",17,"Championship","Premier League","2008",5,6.4,1.4
"2100","Central Midfield",20,"Championship","Premier League","2008",4.5,6.4,1.9
"2101","Centre-Back",26,"Premier League","Premier League","2008",4,6.4,2.4
"2102","Attacking Midfield",24,"Serie C","Serie A","2008",9,6.3,-2.7
"2103","Defensive Midfield",23,"Serie A","Premier League","2008",8,6.3,-1.7
"2104","Central Midfield",25,"Premier League","Premier League","2008",4,6.3,2.3
"2105","Centre-Back",22,"Premier League","Premier League","2008",6.5,6.25,-0.25
"2106","Centre-Back",23," Brazil","Bundesliga","2008",5,6.2,1.2
"2107","Centre-Forward",25,"Süper Lig","Süper Lig","2008",4.2,6.2,2
"2108","Goalkeeper",26,"Serie B","Serie A","2008",12,6,-6
"2109","Centre-Back",30,"Süper Lig","Premier Liga","2008",8.5,6,-2.5
"2110","Centre-Back",26,"Ligue 1","Premier Liga","2008",7.5,6,-1.5
"2111","Second Striker",19,"LaLiga","Premier League","2008",6,6,0
"2112","Defensive Midfield",26,"Serie A","Serie A","2008",5.5,6,0.5
"2113","Central Midfield",25,"Premier Liga","Super League","2008",5.5,6,0.5
"2114","Defensive Midfield",24,"1.HNL","Premier Liga","2008",5,6,1
"2115","Centre-Forward",28,"Premier Liga","Ligue 1","2008",5,6,1
"2116","Central Midfield",20,"Serie A","Liga NOS","2008",4,6,2
"2117","Centre-Forward",23,"LaLiga","LaLiga","2008",4,6,2
"2118","Centre-Forward",27,"LaLiga","LaLiga","2008",3.8,6,2.2
"2119","Right-Back",25,"Liga NOS","LaLiga","2008",3.2,6,2.8
"2120","Defensive Midfield",27,"Liga 1"," Saudi Arabia","2008",3,6,3
"2122","Central Midfield",23,"LaLiga","Premier League","2008",3.8,5.9,2.1
"2123","Left Midfield",25,"LaLiga","Premier League","2008",6,5.8,-0.2
"2124","Attacking Midfield",24,"Torneo Final","Serie A","2008",3.3,5.7,2.4
"2125","Centre-Forward",22,"LaLiga","Premier League","2008",5,5.68,0.68
"2126","Centre-Back",25,"Ligue 1","Premier Liga","2008",6.5,5.5,-1
"2127","Centre-Forward",28,"LaLiga","LaLiga","2008",6,5.5,-0.5
"2128","Centre-Forward",26,"Ligue 1","Süper Lig","2008",4.5,5.5,1
"2129","Left-Back",27,"Premier League","Premier League","2008",4,5.5,1.5
"2130","Defensive Midfield",28,"Eredivisie","Bundesliga","2008",3.5,5.5,2
"2131","Centre-Back",25,"Serie A","Serie A","2008",2.5,5.5,3
"2133","Central Midfield",30,"Premier League","Premier League","2008",4.5,5.3,0.8
"2134","Centre-Forward",23,"Torneo Final","Torneo Final","2008",3.5,5.3,1.8
"2135","Central Midfield",20,"Serie A","Bundesliga","2008",5.5,5.2,-0.3
"2136","Left-Back",27,"Premier League","Serie A","2008",12.5,5,-7.5
"2137","Left Winger",24,"Serie A","Serie A","2008",10,5,-5
"2138","Central Midfield",28,"Premier League","Premier League","2008",9,5,-4
"2139","Second Striker",20,"Serie A","Premier Liga","2008",8,5,-3
"2140","Attacking Midfield",26,"Serie A","Premier Liga","2008",7.5,5,-2.5
"2141","Right Winger",27,"Ligue 1"," Qatar","2008",7.5,5,-2.5
"2142","Centre-Forward",28,"Serie B","Serie A","2008",6.5,5,-1.5
"2143","Central Midfield",30,"Premier Liga","Premier Liga","2008",6,5,-1
"2144","Centre-Back",21,"Premier League","LaLiga","2008",5.5,5,-0.5
"2145","Centre-Back",26,"Premier League","Bundesliga","2008",5,5,0
"2146","Centre-Forward",30,"Ligue 1","Ligue 1","2008",5,5,0
"2147","Centre-Back",30,"Ligue 2","Ligue 1","2008",4.5,5,0.5
"2148","Second Striker",26,"Serie B","Serie A","2008",4,5,1
"2149","Defensive Midfield",21,"Ligue 1","Premier League","2008",3,5,2
"2150","Centre-Back",24,"Jupiler Pro League","LaLiga","2008",2.75,5,2.25
"2151","Defensive Midfield",23,"Serie A","Premier Liga","2008",2.3,5,2.7
"2152","Central Midfield",23,"Eredivisie","Eredivisie","2008",2,5,3
"2153","Goalkeeper",23,"Serie A","LaLiga","2008",1.7,5,3.3
"2154","Centre-Back",24,"Liga 1","Liga NOS","2008",1.4,5,3.6
"2157","Centre-Forward",23,"Liga MX Clausura","Premier League","2008",4,4.8,0.8
"2158","Centre-Back",29,"Serie A","Serie A","2008",2.7,4.8,2.1
"2159","Central Midfield",23,"Serie A","Serie A","2008",2,4.8,2.8
"2160","Centre-Forward",20,"Jupiler Pro League","Premier Liga","2008",2,4.8,2.8
"2161","Central Midfield",23,"LaLiga","LaLiga","2008",6,4.7,-1.3
"2162","Left-Back",26,"LaLiga","LaLiga","2008",6,4.7,-1.3
"2163","Defensive Midfield",19,"Serie A","Premier Liga","2008",4,4.7,0.7
"2164","Centre-Back",24,"Serie A","Süper Lig","2008",3.8,4.7,0.9
"2165","Centre-Forward",23,"Superligaen","Premier Liga","2008",3.5,4.7,1.2
"2166","Attacking Midfield",18,"Serie B","Serie A","2008",0.7,4.7,4
"2167","Centre-Back",30,"Bundesliga","Süper Lig","2008",10,4.5,-5.5
"2168","Central Midfield",27,"Premier League","Süper Lig","2008",7.5,4.5,-3
"2169","Defensive Midfield",29,"Bundesliga","Süper Lig","2008",7,4.5,-2.5
"2170","Centre-Forward",29,"Ligue 1","Ligue 1","2008",7,4.5,-2.5
"2171","Attacking Midfield",26,"Premier League","Premier League","2008",6.5,4.5,-2
"2172","Left-Back",26,"Serie A","Serie A","2008",5,4.5,-0.5
"2173","Centre-Back",28,"Serie A","Serie A","2008",5,4.5,-0.5
"2174","Central Midfield",25,"Premier Liga","Liga NOS","2008",3.5,4.5,1
"2175","Left-Back",26,"Ligue 2","Premier League","2008",3.5,4.5,1
"2176","Left Winger",23,"LaLiga","LaLiga","2008",3,4.5,1.5
"2177","Centre-Forward",19,"HET Liga","Premier Liga","2008",2.5,4.5,2
"2178","Centre-Back",19,"2.Bundesliga","Bundesliga","2008",2.5,4.5,2
"2179","Centre-Back",22,"Liga NOS","Bundesliga","2008",1.5,4.5,3
"2180","Left-Back",21,"Liga 1","Serie A","2008",1.4,4.5,3.1
"2181","Centre-Forward",20,"Championship","Premiership","2008",1.25,4.5,3.25
"2182","Centre-Forward",20,"Serie A","Bundesliga","2008",0.9,4.5,3.6
"2183","Centre-Back",27,"Serie A","Süper Lig","2008",0.85,4.5,3.65
"2184","Left-Back",27,"Championship","Premier League","2008",6,4.4,-1.6
"2185","Goalkeeper",28,"Premier League","Premier League","2008",5,4.4,-0.6
"2186","Attacking Midfield",27,"Torneo Final","Serie A","2008",4.5,4.4,-0.0999999999999996
"2187","Attacking Midfield",27,"Championship","Premier League","2008",3.5,4.4,0.9
"2188","Defensive Midfield",20,"Premier League","Premier League","2008",2,4.4,2.4
"2189","Goalkeeper",25,"Serie A","Premier League","2008",1.2,4.4,3.2
"2190","Centre-Forward",26,"Premier Liga","Premier Liga","2008",3,4.3,1.3
"2191","Centre-Forward",24,"Serie C","Serie A","2008",3,4.3,1.3
"2192","Central Midfield",21,"Premier League","Premier League","2008",1.8,4.3,2.5
"2193","Defensive Midfield",21,"Serie A","Serie A","2008",5.5,4.2,-1.3
"2194","Centre-Forward",27,"Premier League","Premier League","2008",3,4.1,1.1
"2195","Centre-Forward",24,"LaLiga","LaLiga2","2008",9,4,-5
"2196","Centre-Forward",23,"Serie A","Ligue 1","2008",7,4,-3
"2197","Attacking Midfield",26,"2.Bundesliga","Bundesliga","2008",6.5,4,-2.5
"2198","Goalkeeper",22,"Premier League","Premier League","2008",6,4,-2
"2199","Attacking Midfield",27,"Premier Liga","Premier Liga","2008",5.6,4,-1.6
"2200","Defensive Midfield",21,"LaLiga","LaLiga","2008",5,4,-1
"2201","Centre-Back",27,"Ligue 1","Ligue 1","2008",4,4,0
"2202","Attacking Midfield",25,"Eliteserien","Süper Lig","2008",3.5,4,0.5
"2203","Centre-Forward",26,"2.Bundesliga","Ligue 1","2008",3.5,4,0.5
"2204","Attacking Midfield",23,"LaLiga","Liga NOS","2008",2.6,4,1.4
"2205","Central Midfield",28,"Serie A","Premier League","2008",2.5,4,1.5
"2206","Centre-Back",21,"Eredivisie","Premier League","2008",2.5,4,1.5
"2207","Centre-Forward",30,"Championship","Premier League","2008",2.25,4,1.75
"2208","Defensive Midfield",22,"MLS","Premiership","2008",2,4,2
"2209","Attacking Midfield",19,"Eredivisie","Eredivisie","2008",2,4,2
"2210","Centre-Back",19,"Superligaen","Serie A","2008",1.5,4,2.5
"2211","Centre-Forward",19,"Eredivisie","Eredivisie","2008",1.25,4,2.75
"2212","Centre-Forward",22,"Allsvenskan","Eredivisie","2008",1.25,4,2.75
"2213","Centre-Forward",20,"Eredivisie","Premier League","2008",1,4,3
"2217","Centre-Forward",24,"Serie B","Serie B","2008",1.25,3.93,2.68
"2218","Centre-Back",30,"Superligaen","Ligue 1","2008",2.75,3.9,1.15
"2219","Defensive Midfield",24,"Serie B","Super League","2008",5,3.8,-1.2
"2220","Central Midfield",23,"Premier League","Premiership","2008",4.5,3.8,-0.7
"2221","Centre-Forward",28,"Liga MX Clausura","LaLiga","2008",4,3.8,-0.2
"2222","Centre-Back",20,"Super League","Serie A","2008",2.7,3.8,1.1
"2223","Central Midfield",28,"Championship","Premier League","2008",2.5,3.8,1.3
"2224","Attacking Midfield",16," Brazil","Serie A","2008",2.5,3.8,1.3
"2225","Right-Back",27,"Premier League","Premier League","2008",1.5,3.8,2.3
"2226","Right-Back",23,"Premier League","Premier League","2008",1.5,3.8,2.3
"2227","Centre-Forward",24,"Premier League","LaLiga","2009",60,94,34
"2228","Centre-Forward",27,"Serie A","LaLiga","2009",45,69.5,24.5
"2229","Attacking Midfield",27,"Serie A","LaLiga","2009",55,65,10
"2230","Centre-Forward",21,"Ligue 1","LaLiga","2009",29,35,6
"2231","Defensive Midfield",27,"Premier League","LaLiga","2009",27,34.5,7.5
"2232","Centre-Forward",23,"Bundesliga","Bundesliga","2009",30,30,0
"2233","Centre-Forward",25,"Premier League","Premier League","2009",25,29,4
"2234","Second Striker",25,"Premier League","Premier League","2009",25,29,4
"2235","Centre-Back",27,"Premier League","Premier League","2009",17,27.5,10.5
"2236","Attacking Midfield",24,"Bundesliga","Serie A","2009",29,27,-2
"2237","Right Winger",25,"LaLiga","Bundesliga","2009",30,25,-5
"2238","Centre-Forward",30,"Serie A","Serie A","2009",16,25,9
"2239","Centre-Back",22,"Premier Liga","LaLiga","2009",13.5,25,11.5
"2240","Defensive Midfield",26,"Serie A","Serie A","2009",9.5,25,15.5
"2241","Centre-Forward",26,"Liga NOS","Ligue 1","2009",16.5,24,7.5
"2242","Centre-Forward",27,"Premier League","Premier League","2009",10,21.2,11.2
"2243","Left Midfield",25,"Premier Liga","Premier League","2009",20,21,1
"2244","Right-Back",24,"Premier League","Premier League","2009",11,20.5,9.5
"2245","Second Striker",22," Qatar","Serie A","2009",9,20.2,11.2
"2246","Centre-Forward",28,"LaLiga","Serie A","2009",35,20,-15
"2247","Central Midfield",25,"Serie A","Premier League","2009",15,20,5
"2248","Central Midfield",28,"Liga NOS","Ligue 1","2009",20,19,-1
"2249","Right-Back",23,"Premier League","Premier League","2009",11,18.9,7.9
"2250","Centre-Back",28,"Premier League","Premier League","2009",21,18.7,-2.3
"2251","Centre-Forward",26,"Serie A","Serie A","2009",14,18,4
"2252","Left Midfield",25,"Ligue 1","Ligue 1","2009",10,18,8
"2253","Centre-Forward",25,"Serie A","LaLiga","2009",11,16.5,5.5
"2254","Left-Back",21,"Liga NOS","Ligue 1","2009",12,16.2,4.2
"2255","Attacking Midfield",25,"LaLiga","Serie A","2009",25,15,-10
"2256","Centre-Forward",26,"LaLiga","Serie A","2009",20,15,-5
"2257","Centre-Forward",24,"LaLiga","LaLiga","2009",12,15,3
"2258","Centre-Forward",29,"LaLiga2"," United Arab Emirates","2009",10,15,5
"2259","Centre-Back",23,"LaLiga","LaLiga","2009",9,15,6
"2260","Centre-Forward",21,"Serie A","Serie A","2009",8,15,7
"2261","Centre-Forward",20," Brazil","LaLiga","2009",14,14,0
"2262","Defensive Midfield",28,"Premier League","Premier League","2009",18.5,13.9,-4.6
"2263","Centre-Back",25,"Premier League","Premier League","2009",4,13.6,9.6
"2264","Attacking Midfield",22,"Serie A","Ligue 1","2009",18.5,13.5,-5
"2265","Left Midfield",25,"Championship","Premier League","2009",11,13,2
"2266","Centre-Forward",23,"Ligue 1","Ligue 1","2009",8,13,5
"2267","Defensive Midfield",23,"Ligue 1","Ligue 1","2009",9.5,12,2.5
"2268","Centre-Forward",28,"Championship"," Qatar","2009",6.8,12,5.2
"2269","Centre-Back",23,"Eredivisie","Premier League","2009",6,12,6
"2270","Centre-Forward",25,"Premier League","Premier League","2009",12,11.8,-0.199999999999999
"2271","Defensive Midfield",30,"Premier Liga","Bundesliga","2009",20,11,-9
"2272","Centre-Forward",24,"Premier Liga","Ligue 1","2009",9,11,2
"2273","Defensive Midfield",23,"Serie A","Serie A","2009",7,11,4
"2274","Centre-Forward",24,"Championship","Bundesliga","2009",12.5,10.5,-2
"2275","Centre-Forward",28,"Premier League","Premier League","2009",10,10.5,0.5
"2276","Centre-Forward",27,"Serie A","Serie A","2009",9,10.5,1.5
"2277","Centre-Back",22,"Serie A","Serie A","2009",0.4,10.5,10.1
"2278","Defensive Midfield",26,"Serie A","Serie A","2009",7,10.2,3.2
"2279","Centre-Forward",24,"Bundesliga","Bundesliga","2009",12,10,-2
"2280","Centre-Forward",22,"Eredivisie","Bundesliga","2009",8,10,2
"2281","Attacking Midfield",24,"Premier Liga","Premier League","2009",6.7,10,3.3
"2282","Defensive Midfield",22,"Serie A","Serie A","2009",6,10,4
"2283","Central Midfield",24,"Serie A","Serie A","2009",4,10,6
"2284","Central Midfield",19,"League One","Premier League","2009",0.1,9.5,9.4
"2285","Centre-Back",23,"Championship","Premier League","2009",5.2,9.3,4.1
"2286","Defensive Midfield",28,"Premier League","LaLiga","2009",8.5,9,0.5
"2287","Right Midfield",25,"Premier Liga","Premier Liga","2009",6.3,9,2.7
"2288","Left Winger",22,"Eredivisie","Bundesliga","2009",6,9,3
"2289","Right Midfield",25,"Süper Lig","Süper Lig","2009",5.7,9,3.3
"2290","Left-Back",27,"Premier League","Premier League","2009",5.1,9,3.9
"2291","Centre-Forward",22,"Ligue 1","Ligue 1","2009",7.5,8.5,1
"2292","Right-Back",23,"Serie A","Serie A","2009",1.8,8.5,6.7
"2293","Left Winger",20,"Bundesliga","Bundesliga","2009",9,8.2,-0.800000000000001
"2294","Centre-Forward",27,"Ligue 1","Super League","2009",10.5,8,-2.5
"2295","Central Midfield",21,"Serie A","Bundesliga","2009",8,8,0
"2296","Attacking Midfield",24,"Premier Liga","Premier Liga","2009",7,8,1
"2297","Central Midfield",26,"Eredivisie","Eredivisie","2009",6.5,8,1.5
"2298","Goalkeeper",27,"Ligue 1","Ligue 1","2009",6,8,2
"2299","Right Winger",22,"Championship","Premier League","2009",4.5,8,3.5
"2300","Right Winger",19,"Serie A","Premier Liga","2009",4,8,4
"2301","Attacking Midfield",28,"Süper Lig","Süper Lig","2009",3.5,8,4.5
"2302","Right Winger",19,"Torneo Final","LaLiga","2009",3.5,8,4.5
"2303","Centre-Back",20,"1.HNL","Ligue 1","2009",2.5,8,5.5
"2304","Left-Back",27,"Eredivisie","Bundesliga","2009",9,7.7,-1.3
"2305","Centre-Forward",25,"Championship","Premier League","2009",4,7.6,3.6
"2306","Right Winger",27,"Ligue 1","Süper Lig","2009",8,7.5,-0.5
"2307","Central Midfield",22,"Serie A","Liga NOS","2009",8,7.5,-0.5
"2308","Centre-Forward",24,"J1 League"," Qatar","2009",2.5,7.5,5
"2309","Second Striker",25,"Serie B","Premier Liga","2009",11,7.3,-3.7
"2310","Centre-Forward",19,"Premier League","Premier League","2009",3,7.25,4.25
"2311","Centre-Back",31,"Bundesliga","Serie A","2009",18,7,-11
"2312","Attacking Midfield",28,"Premier League","Süper Lig","2009",12.5,7,-5.5
"2313","Centre-Back",31,"Bundesliga","Bundesliga","2009",9,7,-2
"2314","Attacking Midfield",26,"Ligue 1","Bundesliga","2009",6.5,7,0.5
"2315","Defensive Midfield",26,"Serie A","Süper Lig","2009",6,7,1
"2316","Centre-Forward",21,"1.HNL","Premier League","2009",6,7,1
"2317","Attacking Midfield",24,"Bundesliga","Professional League","2009",5,7,2
"2318","Centre-Back",24,"Championship","Premier League","2009",4,7,3
"2319","Defensive Midfield",22,"LaLiga","Liga NOS","2009",4,7,3
"2320","Defensive Midfield",21,"Premier League","Premier League","2009",3.7,7,3.3
"2321","Centre-Back",29,"Serie A","Serie A","2009",3.2,7,3.8
"2322","Goalkeeper",23,"Serie B","Serie A","2009",3,7,4
"2323","Attacking Midfield",20,"Torneo Final","Serie A","2009",3,7,4
"2324","Centre-Forward",29,"Torneo Final"," United Arab Emirates","2009",4.5,6.95,2.45
"2325","Centre-Back",29,"Premier League","Premier League","2009",9.5,6.8,-2.7
"2326","Centre-Back",25,"LaLiga","Premier League","2009",8,6.8,-1.2
"2327","Attacking Midfield",18,"SuperLiga","Serie A","2009",4.5,6.8,2.3
"2328","Second Striker",26,"Serie A","Premier League","2009",3.5,6.8,3.3
"2329","Centre-Forward",27,"Premier Liga","Premier Liga","2009",8.5,6.5,-2
"2330","Centre-Back",31,"Premier League","Premier League","2009",8.3,6.5,-1.8
"2331","Centre-Back",30,"Ligue 1","Ligue 1","2009",7.5,6.5,-1
"2332","Second Striker",25,"LaLiga","Liga NOS","2009",7,6.5,-0.5
"2333","Left Winger",22,"Ligue 1","Ligue 1","2009",6,6.5,0.5
"2334","Left Winger",25,"LaLiga2","Premier Liga","2009",5,6.5,1.5
"2335","Left-Back",23,"Liga 1","Liga NOS","2009",3.25,6.5,3.25
"2336","Right Winger",20,"Premier League","Serie A","2009",4,6.2,2.2
"2337","Centre-Forward",25,"Torneo Final","Ligue 1","2009",3.3,6.2,2.9
"2338","Attacking Midfield",24,"Serie A","Premier Liga","2009",4.5,6,1.5
"2339","Centre-Back",29,"Serie A","Bundesliga","2009",4,6,2
"2340","Defensive Midfield",29,"LaLiga","Serie A","2009",4,6,2
"2341","Attacking Midfield",20,"Serie A","Premier Liga","2009",3.5,6,2.5
"2342","Right Winger",23,"Eredivisie","Premier Liga","2009",3,6,3
"2343","Centre-Back",22,"LaLiga","LaLiga","2009",3,6,3
"2344","Attacking Midfield",18,"Serie A","Serie A","2009",0.5,6,5.5
"2345","Centre-Back",24,"Premier League","Premier League","2009",5.7,5.9,0.2
"2346","Centre-Back",26,"Championship","Premier League","2009",2,5.9,3.9
"2347","Right-Back",20,"Championship","Premier League","2009",0.4,5.9,5.5
"2348","Right-Back",19,"Championship","Premier League","2009",0.05,5.9,5.85
"2349","Centre-Back",25,"Ligue 1","Premier League","2009",14,5.8,-8.2
"2350","Left Winger",27,"Championship","Premier League","2009",9.8,5.7,-4.1
"2351","Centre-Forward",25,"J1 League"," Qatar","2009",3,5.7,2.7
"2352","Centre-Back",26,"Premier League","Premier League","2009",2,5.7,3.7
"2353","Left Midfield",23,"Jupiler Pro League","Eredivisie","2009",5,5.5,0.5
"2354","Centre-Forward",25,"LaLiga","LaLiga","2009",4,5.5,1.5
"2355","Goalkeeper",20,"LaLiga","LaLiga","2009",4,5.5,1.5
"2356","Right-Back",21,"Serie A","Serie A","2009",3.2,5.5,2.3
"2357","Left-Back",20,"Süper Lig","Süper Lig","2009",2.5,5.5,3
"2358","Centre-Forward",23,"Torneo Final","Liga NOS","2009",6.5,5.43,-1.07
"2359","Central Midfield",26,"Serie A","Serie A","2009",4,5.2,1.2
"2360","Central Midfield",18,"Premiership","Premier League","2009",1.25,5.1,3.85
"2361","Left-Back",27,"Serie A","LaLiga","2009",13.5,5,-8.5
"2362","Centre-Forward",23,"LaLiga","LaLiga","2009",12,5,-7
"2363","Goalkeeper",27,"Serie A","Serie A","2009",10,5,-5
"2364","Attacking Midfield",25,"Super League","Liga NOS","2009",8.5,5,-3.5
"2365","Attacking Midfield",26,"Serie A","Süper Lig","2009",6,5,-1
"2366","Second Striker",26,"Eredivisie","Premier Liga","2009",5.5,5,-0.5
"2367","Centre-Back",25,"Serie A","Bundesliga","2009",5.5,5,-0.5
"2368","Second Striker",27,"LaLiga","Liga NOS","2009",5,5,0
"2369","Centre-Back",29,"Serie A","Süper Lig","2009",5,5,0
"2370","Goalkeeper",27,"Serie A","Serie A","2009",5,5,0
"2371","Goalkeeper",25,"LaLiga","LaLiga","2009",5,5,0
"2372","Centre-Forward",24,"Premier Liga","Premier Liga","2009",4.25,5,0.75
"2373","Attacking Midfield",22,"Serie A","Premier Liga","2009",3.5,5,1.5
"2374","Right Winger",29,"Serie A","Serie A","2009",3,5,2
"2375","Centre-Forward",26,"Bundesliga","Ligue 1","2009",3,5,2
"2376","Centre-Forward",30," United Arab Emirates"," United Arab Emirates","2009",3,5,2
"2377","Centre-Forward",25,"Serie A","Serie B","2009",3,5,2
"2378","Centre-Forward",22,"Bundesliga","Serie A","2009",2.6,5,2.4
"2379","Left Winger",23,"Premier Liga","Premier Liga","2009",2.5,5,2.5
"2380","Second Striker",23,"Serie A","Serie A","2009",1.8,5,3.2
"2381","Right Midfield",28,"Serie A","Serie A","2009",1.75,5,3.25
"2382","Defensive Midfield",28,"Serie A","Serie B","2009",0.85,5,4.15
"2383","Centre-Forward",27,"Torneo Final","Serie A","2009",9.5,4.9,-4.6
"2384","Centre-Forward",25,"Premier Liga","Bundesliga","2009",9,4.8,-4.2
"2385","Centre-Back",29,"Premier League","Premier League","2009",5,4.7,-0.3
"2386","Centre-Forward",25,"Premier League","Championship","2009",4.5,4.7,0.2
"2387","Centre-Forward",22,"Premiership","Premier League","2009",4,4.7,0.7
"2388","Central Midfield",31,"Premier Liga","Premier Liga","2009",3.5,4.7,1.2
"2389","Central Midfield",18,"Torneo Final","Bundesliga","2009",3,4.6,1.6
"2390","Defensive Midfield",24,"LaLiga","Serie A","2009",8,4.5,-3.5
"2391","Right Midfield",29,"Serie A","Serie A","2009",6,4.5,-1.5
"2392","Right Winger",25," Russia","Premier Liga","2009",3.8,4.5,0.7
"2393","Attacking Midfield",22,"Süper Lig","Süper Lig","2009",3.5,4.5,1
"2394","Central Midfield",22,"Premier League","Premier League","2009",3,4.5,1.5
"2395","Central Midfield",24,"Serie B","Serie A","2009",2.5,4.5,2
"2396","Centre-Forward",25,"Serie A","Serie A","2009",2,4.5,2.5
"2397","Centre-Forward",25,"Liga NOS","Serie A","2009",2,4.5,2.5
"2398","Left Winger",23," Brazil","Bundesliga","2009",2,4.5,2.5
"2399","Centre-Forward",21,"Eliteserien","Premier League","2009",2,4.5,2.5
"2400","Centre-Back",22,"Serie A","Premier Liga","2009",1.5,4.5,3
"2401","Centre-Forward",28,"Ligue 1","Premiership","2009",3.6,4.4,0.8
"2402","Centre-Forward",26,"Premiership","Championship","2009",6,4.3,-1.7
"2403","Centre-Forward",29,"LaLiga","Süper Lig","2009",10,4.25,-5.75
"2404","Centre-Forward",30,"Bundesliga","Super League","2009",8,4.25,-3.75
"2405","Centre-Back",28,"LaLiga","Liga MX Clausura","2009",4,4.2,0.2
