"","Name","Position","Age","Team_from","League_from","Team_to","League_to","Season","Market_value","Transfer_fee","Price_diff","League_type_from","League_type_to"
"2056","Vincent Kompany","Centre-Back",22,"Hamburger SV","Bundesliga","Man City","Premier League","2008",8,8.5,0.5,"Big5","Big5"
"2057","Romaric","Defensive Midfield",25,"Le Mans","Ligue 1","Sevilla FC","LaLiga","2008",7,8.5,1.5,"Big5","Big5"
"2058","Abdoulay Konko","Right-Back",24,"Genoa","Serie A","Sevilla FC","LaLiga","2008",6,8.5,2.5,"Big5","Big5"
"2059","Savio Nsereko","Right Winger",19,"Brescia","Serie B","West Ham","Premier League","2008",1.5,8.5,7,"Big5 B","Big5"
"2060","John Mensah","Centre-Back",25,"Stade Rennais","Ligue 1","Olympique Lyon","Ligue 1","2008",7.5,8.4,0.9,"Big5","Big5"
"2061","Marcell Jansen","Left-Back",22,"Bayern Munich ","Bundesliga","Hamburger SV","Bundesliga","2008",10,8,-2,"Big5","Big5"
"2062","Christian Maggio","Right-Back",26,"Sampdoria","Serie A","SSC Napoli","Serie A","2008",9,8,-1,"Big5","Big5"
"2063","Stevan Jovetic","Centre-Forward",18,"Partizan","SuperLiga","Fiorentina","Serie A","2008",7,8,1,"Europe","Big5"
"2064","Asamoah Gyan","Centre-Forward",22,"Udinese Calcio","Serie A","Stade Rennais","Ligue 1","2008",6,8,2,"Big5","Big5"
"2065","Henrique","Centre-Back",21,"Desp. Brasil"," Brazil","FC Barcelona","LaLiga","2008",6,8,2,"Americas","Big5"
"2066","Lo?c Rémy","Centre-Forward",21,"Olympique Lyon","Ligue 1","OGC Nice","Ligue 1","2008",6,8,2,"Big5","Big5"
"2067","Jorge Valdivia","Attacking Midfield",24,"Palmeiras","Serie A","Al-Ain FC","UAE Gulf League","2008",5.5,8,2.5,"Big5","Asia Africa"
"2068","Amara Diané","Right Winger",25,"Paris SG","Ligue 1","Al Rayyan","Stars League","2008",5,8,3,"Big5","Asia Africa"
"2069","Stéphane Sessègnon","Attacking Midfield",24,"Le Mans","Ligue 1","Paris SG","Ligue 1","2008",5,8,3,"Big5","Big5"
"2070","Felipe Melo","Defensive Midfield",25,"UD Almería","LaLiga","Fiorentina","Serie A","2008",5,8,3,"Big5","Big5"
"2071","Damián Escudero","Attacking Midfield",21,"Vélez Sarsfield","Primera División","Villarreal CF","LaLiga","2008",4.45,8,3.55,"Americas","Big5"
"2072","Cesare Bovo","Centre-Back",25,"Genoa","Serie A","US Palermo","Serie A","2008",3.5,7.85,4.35,"Big5","Big5"
"2073","Antonio Nocerino","Central Midfield",23,"Juventus","Serie A","US Palermo","Serie A","2008",9.5,7.5,-2,"Big5","Big5"
"2074","Pablo Aimar","Attacking Midfield",28,"Real Zaragoza","LaLiga2","Benfica","Liga NOS","2008",8,7.5,-0.5,"Big5 B","Europe"
"2075","Miralem Pjanic","Central Midfield",18,"FC Metz","Ligue 2","Olympique Lyon","Ligue 1","2008",5.5,7.5,2,"Big5 B","Big5"
"2076","Juan Pablo Carrizo","Goalkeeper",24,"River Plate","Primera División","Lazio","Serie A","2008",5.3,7.5,2.2,"Americas","Big5"
"2077","Mladen Petric","Centre-Forward",27,"Bor. Dortmund","Bundesliga","Hamburger SV","Bundesliga","2008",9.5,7.3,-2.2,"Big5","Big5"
"2078","Germán Denis","Centre-Forward",26,"Independiente","Primera División","SSC Napoli","Serie A","2008",8.25,7.1,-1.15,"Americas","Big5"
"2079","Achille Emaná","Attacking Midfield",26,"Toulouse","Ligue 1","Real Betis","LaLiga","2008",10,7,-3,"Big5","Big5"
"2080","Cristian Zaccardo","Centre-Back",26,"US Palermo","Serie A","VfL Wolfsburg","Bundesliga","2008",7,7,0,"Big5","Big5"
"2081","Rolando Bianchi","Centre-Forward",25,"Man City","Premier League","Torino","Serie A","2008",6.5,7,0.5,"Big5","Big5"
"2082","Pablo Piatti","Left Winger",19,"Estudiantes","Primera División","UD Almería","LaLiga","2008",6.5,7,0.5,"Americas","Big5"
"2083","Rio Mavuba","Defensive Midfield",24,"Villarreal CF","LaLiga","LOSC Lille","Ligue 1","2008",6,7,1,"Big5","Big5"
"2084","Darío Cvitanich","Centre-Forward",24,"CA Banfield","Primera División","AFC Ajax","Eredivisie","2008",4.8,7,2.2,"Americas","Europe"
