"","Name","Position","Age","Team_from","League_from","Team_to","League_to","Season","Market_value","Transfer_fee","Price_diff","League_type_from","League_type_to"
"1933","André-Pierre Gignac","Centre-Forward",21,"FC Lorient","Ligue 1","Toulouse","Ligue 1","2007",2,4.5,2.5,"Big5","Big5"
"1934","Manuel da Costa","Centre-Back",21,"PSV Eindhoven","Eredivisie","Fiorentina","Serie A","2007",1.5,4.5,3,"Europe","Big5"
"1935","Kenny Miller","Centre-Forward",27,"Celtic","Premiership","Derby","Premier League","2007",1.25,4.5,3.25,"Europe","Big5"
"1936","Hameur Bouazza","Right Winger",22,"Watford","Championship","Fulham","Premier League","2007",0.84,4.5,3.66,"Big5 B","Big5"
"1937","Claude Davis","Centre-Back",28,"Sheffield Utd.","Championship","Derby","Premier League","2007",0.77,4.5,3.73,"Big5 B","Big5"
"1938","Chris Baird","Defensive Midfield",25,"Southampton","Championship","Fulham","Premier League","2007",0.75,4.5,3.75,"Big5 B","Big5"
"1941","Lukasz Fabianski","Goalkeeper",22,"Legia Warszawa","Ekstraklasa","Arsenal","Premier League","2007",4.35,4.35,0,"Europe","Big5"
"1942","Fabrizio Miccoli","Centre-Forward",28,"Juventus","Serie A","US Palermo","Serie A","2007",6,4.3,-1.7,"Big5","Big5"
"1943","David Rozehnal","Centre-Back",27,"Paris SG","Ligue 1","Newcastle","Premier League","2007",5,4.3,-0.7,"Big5","Big5"
"1944","Raffael","Second Striker",22,"FC Zürich","Swiss Super League","Hertha BSC","Bundesliga","2007",4,4.3,0.3,"Europe","Big5"
"1945","Tomasz Kuszczak","Goalkeeper",25,"West Brom","Championship","Man Utd","Premier League","2007",3.4,4.3,0.9,"Big5 B","Big5"
"1946","Anderson","Centre-Back",27,"Benfica","Liga NOS","Olympique Lyon","Ligue 1","2007",2.6,4.3,1.7,"Europe","Big5"
"1947","Leon Andreasen","Central Midfield",24,"Werder Bremen","Bundesliga","Fulham","Premier League","2007",2.5,4.3,1.8,"Big5","Big5"
"1948","Federico Insúa","Attacking Midfield",27,"Bor. M'gladbach","2.Bundesliga","América","Liga MX","2007",3.5,4.2,0.7,"Big5 B","Americas"
"1949","Tim Howard","Goalkeeper",28,"Man Utd","Premier League","Everton","Premier League","2007",2.75,4.2,1.45,"Big5","Big5"
"1950","Dawid Janczyk","Centre-Forward",19,"Legia Warszawa","Ekstraklasa","CSKA Moscow","Russian Premier Liga","2007",1.1,4.2,3.1,"Europe","Europe"
"1951","Lomana LuaLua","Second Striker",26,"Portsmouth","Premier League","Olympiacos","Greece Super League","2007",5.5,4.1,-1.4,"Big5","Europe"
"1952","Seydou Keita","Central Midfield",27,"Lens","Ligue 1","Sevilla FC","LaLiga","2007",10,4,-6,"Big5","Big5"
"1953","Luis García","Right Winger",29,"Liverpool","Premier League","Atlético Madrid","LaLiga","2007",9.4,4,-5.4,"Big5","Big5"
"1954","Mauro Esposito","Right Winger",28,"Cagliari Calcio","Serie A","AS Roma","Serie A","2007",4.5,4,-0.5,"Big5","Big5"
"1955","Fitz Hall","Centre-Back",27,"Wigan","Premier League","QPR","Championship","2007",4.5,4,-0.5,"Big5","Big5 B"
"1956","Florent Sinama-Pongolle","Second Striker",22,"Liverpool","Premier League","Recr. Huelva","LaLiga","2007",4.5,4,-0.5,"Big5","Big5"
"1957","Marcus Berg","Centre-Forward",21,"IFK G?teborg","Allsvenskan","FC Groningen","Eredivisie","2007",4.5,4,-0.5,"Europe","Europe"
"1958","Ricardo","Goalkeeper",31,"Sporting CP","Liga NOS","Real Betis","LaLiga","2007",4.3,4,-0.3,"Europe","Big5"
"1959","Ricardo Costa","Centre-Back",26,"FC Porto","Liga NOS","VfL Wolfsburg","Bundesliga","2007",4.25,4,-0.25,"Europe","Big5"
"1960","Garry O'Connor","Centre-Forward",24,"Loko Moscow","Russian Premier Liga","Birmingham","Premier League","2007",4,4,0,"Europe","Big5"
"1961","Ionut Mazilu","Centre-Forward",25,"Rapid Bucharest","Liga 1","Dnipro","Ukranian Premier Liga","2007",4,4,0,"Europe","Europe"
"1962","Souza","Attacking Midfield",28,"S?o Paulo","Serie A","Paris SG","Ligue 1","2007",4,4,0,"Big5","Big5"
"1963","Edin Dzeko","Centre-Forward",21,"FK Teplice","HET Liga","VfL Wolfsburg","Bundesliga","2007",4,4,0,"Europe","Big5"
"1964","Malik Fathi","Central Midfield",24,"Hertha BSC","Bundesliga","Spartak Moscow","Russian Premier Liga","2007",3.5,4,0.5,"Big5","Europe"
"1965","Ernesto Farías","Centre-Forward",27,"River Plate","Primera División","FC Porto","Liga NOS","2007",3.5,4,0.5,"Americas","Europe"
"1966","Daniele Cacia","Centre-Forward",24,"Piacenza","Serie B","Fiorentina","Serie A","2007",3,4,1,"Big5 B","Big5"
"1967","Marlon King","Centre-Forward",27,"Watford","Championship","Wigan","Premier League","2007",2.25,4,1.75,"Big5 B","Big5"
"1968","Héctor Moreno","Centre-Back",19,"UNAM Pumas","Liga MX","AZ Alkmaar","Eredivisie","2007",2,4,2,"Americas","Europe"
"1969","Nicolás Navarro","Goalkeeper",22,"Argentinos","Primera División","SSC Napoli","Serie A","2007",1.83,4,2.17,"Americas","Big5"
"1970","Nicolas Lombaerts","Centre-Back",22,"KAA Gent","Jupiler Pro League","Zenit S-Pb","Russian Premier Liga","2007",1.5,4,2.5,"Europe","Europe"
"1971","Dimitri Payet","Attacking Midfield",20,"FC Nantes","Ligue 2","Saint-étienne","Ligue 1","2007",1.5,4,2.5,"Big5 B","Big5"
"1972","Gorka Iraizoz","Goalkeeper",26,"Espanyol","LaLiga","Athletic Bilbao","LaLiga","2007",1.4,4,2.6,"Big5","Big5"
"1973","Antonio Floro Flores","Centre-Forward",24,"Arezzo","Serie C","Udinese Calcio","Serie A","2007",0.8,4,3.2,"Big5 B","Big5"
"1974","Adel Taarabt","Attacking Midfield",18,"Lens","Ligue 1","Spurs","Premier League","2007",0.05,4,3.95,"Big5","Big5"
"1976","Daniele Galloppa","Central Midfield",22,"AS Roma","Serie A","Siena","Serie A","2007",0.9,3.95,3.05,"Big5","Big5"
"1977","Robinho","Left Winger",24,"Real Madrid","LaLiga","Man City","Premier League","2008",34,43,9,"Big5","Big5"
"1978","Dimitar Berbatov","Centre-Forward",27,"Spurs","Premier League","Man Utd","Premier League","2008",26,38,12,"Big5","Big5"
"1979","Dani Alves","Right-Back",25,"Sevilla FC","LaLiga","FC Barcelona","LaLiga","2008",20,35.5,15.5,"Big5","Big5"
"1980","Danny","Attacking Midfield",25,"Dinamo Moscow","Russian Premier Liga","Zenit S-Pb","Russian Premier Liga","2008",7.75,30,22.25,"Europe","Europe"
"1981","Klaas-Jan Huntelaar","Centre-Forward",25,"AFC Ajax","Eredivisie","Real Madrid","LaLiga","2008",20,27,7,"Europe","Big5"
"1982","Ronaldinho","Attacking Midfield",28,"FC Barcelona","LaLiga","AC Milan","Serie A","2008",35,25,-10,"Big5","Big5"
"1983","Ricardo Quaresma","Right Winger",24,"FC Porto","Liga NOS","Inter","Serie A","2008",23,24.6,1.6,"Europe","Big5"
"1984","Robbie Keane","Centre-Forward",28,"Spurs","Premier League","Liverpool","Premier League","2008",16.5,24,7.5,"Big5","Big5"
"1985","J?","Centre-Forward",21,"CSKA Moscow","Russian Premier Liga","Man City","Premier League","2008",16,24,8,"Europe","Big5"
"1986","Amauri","Centre-Forward",28,"US Palermo","Serie A","Juventus","Serie A","2008",16,22.8,6.8,"Big5","Big5"
"1987","Javier Mascherano","Defensive Midfield",24,"West Ham","Premier League","Liverpool","Premier League","2008",22.5,22.5,0,"Big5","Big5"
"1988","David Bentley","Right Midfield",23,"Blackburn","Premier League","Spurs","Premier League","2008",9,22,13,"Big5","Big5"
"1989","Marouane Fellaini","Central Midfield",20,"Standard Liège","Jupiler Pro League","Everton","Premier League","2008",7,21.76,14.76,"Europe","Big5"
"1990","Luka Modric","Central Midfield",22,"Dinamo Zagreb","1.HNL","Spurs","Premier League","2008",18,21,3,"Europe","Big5"
"1991","Bosingwa","Right-Back",25,"FC Porto","Liga NOS","Chelsea","Premier League","2008",17,20.5,3.5,"Europe","Big5"
"1992","Lassana Diarra","Defensive Midfield",23,"Portsmouth","Premier League","Real Madrid","LaLiga","2008",8.5,20,11.5,"Big5","Big5"
"1993","Nigel de Jong","Defensive Midfield",24,"Hamburger SV","Bundesliga","Man City","Premier League","2008",12,18,6,"Big5","Big5"
"1994","Roman Pavlyuchenko","Centre-Forward",26,"Spartak Moscow","Russian Premier Liga","Spurs","Premier League","2008",8,17.4,9.4,"Europe","Big5"
"1995","Aleksandr Hleb","Attacking Midfield",27,"Arsenal","Premier League","FC Barcelona","LaLiga","2008",19,17,-2,"Big5","Big5"
"1996","Robbie Keane","Centre-Forward",28,"Liverpool","Premier League","Spurs","Premier League","2008",21,16.7,-4.3,"Big5","Big5"
"1997","Andrey Arshavin","Second Striker",27,"Zenit S-Pb","Russian Premier Liga","Arsenal","Premier League","2008",24,16.5,-7.5,"Europe","Big5"
"1998","Martín Cáceres","Right-Back",21,"Villarreal CF","LaLiga","FC Barcelona","LaLiga","2008",6,16.5,10.5,"Big5","Big5"
"1999","Jermain Defoe","Centre-Forward",26,"Portsmouth","Premier League","Spurs","Premier League","2008",11,16.4,5.4,"Big5","Big5"
"2000","Miralem Sulejmani","Left Midfield",19,"Heerenveen","Eredivisie","AFC Ajax","Eredivisie","2008",8.5,16.25,7.75,"Europe","Europe"
"2001","Samir Nasri","Left Winger",21,"Marseille","Ligue 1","Arsenal","Premier League","2008",15,16,1,"Big5","Big5"
"2002","Craig Bellamy","Left Winger",29,"West Ham","Premier League","Man City","Premier League","2008",7.5,15.5,8,"Big5","Big5"
"2003","Rafael van der Vaart","Attacking Midfield",25,"Hamburger SV","Bundesliga","Real Madrid","LaLiga","2008",23,15,-8,"Big5","Big5"
"2004","James Milner","Central Midfield",22,"Newcastle","Premier League","Aston Villa","Premier League","2008",8.5,15,6.5,"Big5","Big5"
"2005","Wilson Palacios","Defensive Midfield",24,"Wigan","Premier League","Spurs","Premier League","2008",3.5,15,11.5,"Big5","Big5"
"2006","Ederson","Attacking Midfield",22,"OGC Nice","Ligue 1","Olympique Lyon","Ligue 1","2008",11,14.9,3.9,"Big5","Big5"
"2007","Alberto Gilardino","Centre-Forward",26,"AC Milan","Serie A","Fiorentina","Serie A","2008",17,14,-3,"Big5","Big5"
"2008","Jean II Makoun","Defensive Midfield",25,"LOSC Lille","Ligue 1","Olympique Lyon","Ligue 1","2008",12.5,14,1.5,"Big5","Big5"
"2009","Sulley Muntari","Central Midfield",23,"Portsmouth","Premier League","Inter","Serie A","2008",12,14,2,"Big5","Big5"
"2010","Andrea Barzagli","Centre-Back",27,"US Palermo","Serie A","VfL Wolfsburg","Bundesliga","2008",11,14,3,"Big5","Big5"
"2011","Dani Güiza","Centre-Forward",27,"RCD Mallorca","LaLiga","Fenerbahce","Süper Lig","2008",10,14,4,"Big5","Europe"
"2012","Seydou Keita","Central Midfield",28,"Sevilla FC","LaLiga","FC Barcelona","LaLiga","2008",8,14,6,"Big5","Big5"
"2013","Vedran Corluka","Centre-Back",22,"Man City","Premier League","Spurs","Premier League","2008",11.5,13.75,2.25,"Big5","Big5"
"2014","Peter Crouch","Centre-Forward",27,"Liverpool","Premier League","Portsmouth","Premier League","2008",9.5,13.7,4.2,"Big5","Big5"
"2015","Andy Johnson","Centre-Forward",27,"Everton","Premier League","Fulham","Premier League","2008",10,13.3,3.3,"Big5","Big5"
"2016","Mancini","Left Winger",27,"AS Roma","Serie A","Inter","Serie A","2008",19,13,-6,"Big5","Big5"
"2017","Diego Milito","Centre-Forward",29,"Real Zaragoza","LaLiga2","Genoa","Serie A","2008",15,13,-2,"Big5 B","Big5"
"2018","Fabricio Coloccini","Centre-Back",26,"Dep. La Coru?a","LaLiga","Newcastle","Premier League","2008",10,13,3,"Big5","Big5"
"2019","Wayne Bridge","Left-Back",28,"Chelsea","Premier League","Man City","Premier League","2008",6,13,7,"Big5","Big5"
"2020","Johan Elmander","Centre-Forward",27,"Toulouse","Ligue 1","Bolton","Premier League","2008",10,12.6,2.6,"Big5","Big5"
"2021","Juan Manuel Vargas","Left-Back",24,"Catania","Serie A","Fiorentina","Serie A","2008",11,12,1,"Big5","Big5"
"2022","Hatem Ben Arfa","Attacking Midfield",21,"Olympique Lyon","Ligue 1","Marseille","Ligue 1","2008",10,12,2,"Big5","Big5"
"2023","Jérémy Ménez","Second Striker",21,"Monaco","Ligue 1","AS Roma","Serie A","2008",7.5,12,4.5,"Big5","Big5"
"2024","Domenico Criscito","Left-Back",21,"Juventus","Serie A","Genoa","Serie A","2008",4.5,11.5,7,"Big5","Big5"
"2025","Shaun Wright-Phillips","Right Winger",26,"Chelsea","Premier League","Man City","Premier League","2008",13,11.25,-1.75,"Big5","Big5"
"2026","Gianluca Zambrotta","Right-Back",31,"FC Barcelona","LaLiga","AC Milan","Serie A","2008",16,10.5,-5.5,"Big5","Big5"
"2027","Rafael Sóbis","Centre-Forward",23,"Real Betis","LaLiga","Al-Jazira","UAE Gulf League","2008",8,10.5,2.5,"Big5","Asia Africa"
"2028","Luca Cigarini","Defensive Midfield",22,"Parma","Serie B","Atalanta","Serie A","2008",7,10.5,3.5,"Big5 B","Big5"
"2029","Deco","Attacking Midfield",30,"FC Barcelona","LaLiga","Chelsea","Premier League","2008",18,10,-8,"Big5","Big5"
"2030","Jefferson Farfán","Right Winger",23,"PSV Eindhoven","Eredivisie","FC Schalke 04","Bundesliga","2008",14.5,10,-4.5,"Europe","Big5"
"2031","Júlio Baptista","Attacking Midfield",26,"Real Madrid","LaLiga","AS Roma","Serie A","2008",11,10,-1,"Big5","Big5"
"2032","Ricardo Oliveira","Centre-Forward",28,"AC Milan","Serie A","Real Zaragoza","LaLiga2","2008",11,10,-1,"Big5","Big5 B"
"2033","Ezequiel Garay","Centre-Back",21,"Racing","LaLiga","Real Madrid","LaLiga","2008",10,10,0,"Big5","Big5"
"2034","Thiago Silva","Centre-Back",24,"Fluminense","Serie A","AC Milan","Serie A","2008",7.5,10,2.5,"Big5","Big5"
"2035","Johnny Heitinga","Centre-Back",24,"AFC Ajax","Eredivisie","Atlético Madrid","LaLiga","2008",7,10,3,"Europe","Big5"
"2036","Sergio García","Centre-Forward",25,"Real Zaragoza","LaLiga2","Real Betis","LaLiga","2008",7,10,3,"Big5 B","Big5"
"2037","Carlos Cuéllar","Centre-Back",26,"Rangers","Premiership","Aston Villa","Premier League","2008",6,10,4,"Europe","Big5"
"2038","Florent Sinama-Pongolle","Second Striker",23,"Recr. Huelva","LaLiga","Atlético Madrid","LaLiga","2008",6,10,4,"Big5","Big5"
"2039","Anton Ferdinand","Centre-Back",23,"West Ham","Premier League","Sunderland","Premier League","2008",4,10,6,"Big5","Big5"
"2040","Curtis Davies","Centre-Back",23,"West Brom","Premier League","Aston Villa","Premier League","2008",3.5,10,6.5,"Big5","Big5"
"2041","Albert Riera","Left Winger",26,"Espanyol","LaLiga","Liverpool","Premier League","2008",12,9.8,-2.2,"Big5","Big5"
"2042","Christian Poulsen","Defensive Midfield",28,"Sevilla FC","LaLiga","Juventus","Serie A","2008",11,9.75,-1.25,"Big5","Big5"
"2043","Ricardo Oliveira","Centre-Forward",28,"Real Zaragoza","LaLiga2","Real Betis","LaLiga","2008",12,9,-3,"Big5 B","Big5"
"2044","Giampaolo Pazzini","Centre-Forward",24,"Fiorentina","Serie A","Sampdoria","Serie A","2008",10,9,-1,"Big5","Big5"
"2045","Thiago Neves","Attacking Midfield",23,"Fluminense","Serie A","Hamburger SV","Bundesliga","2008",10,9,-1,"Big5","Big5"
"2046","Shay Given","Goalkeeper",32,"Newcastle","Premier League","Man City","Premier League","2008",7.5,9,1.5,"Big5","Big5"
"2047","Bakari Koné","Right Winger",26,"OGC Nice","Ligue 1","Marseille","Ligue 1","2008",7.5,9,1.5,"Big5","Big5"
"2048","Heurelho Gomes","Goalkeeper",27,"PSV Eindhoven","Eredivisie","Spurs","Premier League","2008",7.5,9,1.5,"Europe","Big5"
"2049","Andrea Dossena","Left Midfield",26,"Udinese Calcio","Serie A","Liverpool","Premier League","2008",6.5,9,2.5,"Big5","Big5"
"2050","Marcelo Moreno","Centre-Forward",21,"Cruzeiro","Serie A","Shakhtar D.","Ukranian Premier Liga","2008",6,9,3,"Big5","Europe"
"2051","Kim","Centre-Forward",28,"AS Nancy","Ligue 1","Al Arabi","Stars League","2008",4.5,9,4.5,"Big5","Asia Africa"
"2052","Diogo","Centre-Forward",21,"Portuguesa","Serie A","Olympiacos","Greece Super League","2008",4,9,5,"Big5","Europe"
"2053","Marco Borriello","Centre-Forward",26,"Genoa","Serie A","AC Milan","Serie A","2008",12,8.75,-3.25,"Big5","Big5"
"2054","Pablo Zabaleta","Right-Back",23,"Espanyol","LaLiga","Man City","Premier League","2008",8,8.7,0.699999999999999,"Big5","Big5"
"2055","Hugo Lloris","Goalkeeper",21,"OGC Nice","Ligue 1","Olympique Lyon","Ligue 1","2008",8.5,8.5,0,"Big5","Big5"
