"","Position","Age","Team_from","Team_to","Season","Market_value","Transfer_fee","Price_diff"
"1284","Defensive Midfield",24,"Marseille","Olympique Lyon","2005",9,7.5,-1.5
"1285","Attacking Midfield",29,"Inter","Parma","2005",6,7.5,1.5
"1286","Centre-Forward",22,"Atalanta","US Palermo","2005",5,7.5,2.5
"1287","Attacking Midfield",24,"PSV Eindhoven","Man Utd","2005",5,7.3,2.3
"1288","Centre-Forward",25,"R. Strasbourg","Marseille","2005",5,7,2
"1289","Centre-Forward",23,"VfB Stuttgart","FC Schalke 04","2005",8,6.9,-1.1
"1290","Centre-Back",25,"Udinese Calcio","Everton","2005",7,6.8,-0.2
"1291","Centre-Forward",27,"Spurs","Sevilla FC","2005",7.5,6.5,-1
"1292","Centre-Forward",28,"Wolves","Wigan","2005",3.5,6.45,2.95
"1293","Right-Back",24,"AZ Alkmaar","Villarreal CF","2005",8,6,-2
"1294","Left Winger",23,"Lens","Stade Rennais","2005",7,6,-1
"1295","Attacking Midfield",25,"G. Bordeaux","Monaco","2005",6,6,0
"1296","Centre-Forward",27,"AJ Auxerre","Portsmouth","2005",4,6,2
"1297","Centre-Back",22,"Sporting CP","Dinamo Moscow","2005",2.25,6,3.75
"1298","Left-Back",23,"Arezzo","Fiorentina","2005",1.7,6,4.3
"1299","Defensive Midfield",20,"Genoa","Lazio","2005",0.5,6,5.5
"1302","Second Striker",23,"AS Roma","Real Madrid","2005",24,5.5,-18.5
"1303","Defensive Midfield",20,"Atalanta","Fiorentina","2005",5,5.5,0.5
"1304","Centre-Forward",22,"Malm? FF","AFC Ajax","2005",5.5,5.3,-0.2
"1305","Right-Back",28,"Man Utd","Everton","2005",5,5.3,0.3
"1306","Right Midfield",25,"Spurs","Everton","2005",5.5,5.25,-0.25
"1308","Attacking Midfield",22,"AFC Ajax","Hamburger SV","2005",8,5.1,-2.9
"1309","Central Midfield",24,"Inter","Newcastle","2005",12,5,-7
"1310","Defensive Midfield",28,"Bayern Munich ","Werder Bremen","2005",9,5,-4
"1311","Left Winger",24,"Espanyol","Atlético Madrid","2005",7,5,-2
"1312","Defensive Midfield",28,"Club Brugge","PSV Eindhoven","2005",5,5,0
"1313","Centre-Back",24,"FC Sochaux","Olympique Lyon","2005",5,5,0
"1314","Centre-Forward",18,"Corinthians","CSKA Moscow","2005",5,5,0
"1315","Right-Back",19,"Coritiba FC","FC Schalke 04","2005",4.5,5,0.5
"1316","Centre-Back",21,"FC Sochaux","Toulouse","2005",3.5,5,1.5
"1317","Right-Back",21,"River Plate","Real Madrid","2005",2.5,5,2.5
"1318","Central Midfield",22,"Br?ndby IF","AJ Auxerre","2005",1.5,5,3.5
"1319","Second Striker",19,"Treviso","Udinese Calcio","2005",1,5,4
"1320","Centre-Back",20,"Atalanta","Cagliari Calcio","2005",0.25,5,4.75
"1321","Centre-Forward",24,"Liverpool","Bolton","2005",6.5,4.8,-1.7
"1322","Left-Back",27,"PSV Eindhoven","Aston Villa","2005",5,4.7,-0.3
"1323","Defensive Midfield",18,"Derby","Spurs","2005",4.7,4.7,0
"1324","Centre-Forward",24,"Chelsea","Birmingham","2005",7,4.5,-2.5
"1325","Defensive Midfield",25,"Reggina","Spartak Moscow","2005",5,4.5,-0.5
"1326","Central Midfield",27,"Torpedo Moscow","Dinamo Moscow","2005",4,4.5,0.5
"1327","Centre-Back",25,"VfB Stuttgart","Spartak Moscow","2005",3.5,4.5,1
"1328","Centre-Forward",21,"Ipswich","Charlton","2005",3.5,4.5,1
"1329","Centre-Forward",24,"Wigan","West Brom","2005",2.25,4.5,2.25
"1330","Centre-Forward",23,"Atlético-PR","Ittihad","2005",0.2,4.5,4.3
"1333","Attacking Midfield",27,"Reggina","Celtic","2005",2.5,4.2,1.7
"1335","Centre-Forward",26,"Reggina","Parma","2005",4,4.15,0.15
"1336","Centre-Forward",24,"West Brom","Norwich","2005",5.3,4.13,-1.17
"1337","Defensive Midfield",30,"FC Porto","Dinamo Moscow","2005",15,4,-11
"1338","Centre-Back",26,"Everton","Fiorentina","2005",7.25,4,-3.25
"1339","Right-Back",25,"S?o Paulo","Real Madrid","2005",5,4,-1
"1340","Goalkeeper",34,"Fulham","Man Utd","2005",4.75,4,-0.75
"1341","Defensive Midfield",28,"CA Osasuna","Real Madrid","2005",4.25,4,-0.25
"1342","Right Winger",19,"Partizan","Saturn","2005",4,4,0
"1343","Centre-Forward",26,"Paris SG","Kashiwa Reysol","2005",4,4,0
"1344","Attacking Midfield",22,"Rapid Vienna","RB Salzburg","2005",3.8,4,0.2
"1345","Right Midfield",21,"Zenit S-Pb","Spartak Moscow","2005",3.3,4,0.7
"1346","Defensive Midfield",22,"Marseille","Espanyol","2005",3,4,1
"1347","Centre-Back",22,"Paris SG","Marseille","2005",2.8,4,1.2
"1348","Centre-Forward",21,"FC Schalke 04","VfL Wolfsburg","2005",1.75,4,2.25
"1349","Defensive Midfield",17,"SC Bastia","Arsenal","2005",1.25,4,2.75
"1350","Right Winger",20,"Spartak Moscow","Loko Moscow","2005",0.15,4,3.85
"1351","Centre-Back",29,"FC Basel","Olympique Lyon","2005",3,3.8,0.8
"1352","Right Winger",25,"Racing","West Ham","2005",4,3.75,-0.25
"1353","Centre-Back",28,"Trabzonspor","Shakhtar D.","2005",3.5,3.75,0.25
"1354","Centre-Back",25,"SK Brann","Wigan","2005",3,3.67,0.67
"1355","Centre-Forward",25,"Aston Villa","Man City","2005",5.75,3.6,-2.15
"1356","Centre-Forward",25,"Arezzo","Torino","2005",0.7,3.6,2.9
"1357","Centre-Forward",24,"Bor. Dortmund","Real Zaragoza","2005",12,3.5,-8.5
"1358","Centre-Forward",32,"FC Schalke 04","Besiktas","2005",8,3.5,-4.5
"1359","Centre-Forward",25,"Santos FC","Sporting CP","2005",3.5,3.5,0
"1360","Centre-Forward",26,"Derby","Spurs","2005",3.5,3.5,0
"1361","Centre-Back",20,"FC Porto","Dinamo Moscow","2005",3.5,3.5,0
"1362","Central Midfield",27,"Levante UD","Real Betis","2005",0.8,3.5,2.7
"1366","Attacking Midfield",22,"Olympique Lyon","Toulouse","2005",2.5,3.4,0.9
"1368","Second Striker",22,"Sparta Praha","Trabzonspor","2005",4,3.25,-0.75
"1369","Central Midfield",28,"Charlton","Spurs","2005",5.3,3.21,-2.09
"1370","Central Midfield",31,"AC Milan","Paris SG","2005",4,3.2,-0.8
"1372","Centre-Forward",28,"Wisla Kraków","Celtic","2005",5,3.1,-1.9
"1373","Centre-Forward",26,"Birmingham","Crystal Palace","2005",7,3,-4
"1374","Left Winger",27,"Atlético Madrid","VfB Stuttgart","2005",6.5,3,-3.5
"1375","Centre-Forward",26,"FC Sochaux","Toulouse","2005",6.5,3,-3.5
"1376","Second Striker",24,"RSC Anderlecht","Lens","2005",5,3,-2
"1377","Left Winger",23,"G. Bordeaux","Espanyol","2005",4.75,3,-1.75
"1378","Defensive Midfield",23,"Liverpool","Lens","2005",4,3,-1
"1379","Centre-Forward",26,"Stade Rennais","Saint-étienne","2005",4,3,-1
"1380","Right Winger",24,"G. Bordeaux","Saint-étienne","2005",4,3,-1
"1381","Right Winger",25,"Le Mans","Paris SG","2005",4,3,-1
"1382","Centre-Forward",26,"Spurs","Southampton","2005",3.5,3,-0.5
"1383","Centre-Back",26,"Newcastle","Portsmouth","2005",3.5,3,-0.5
"1384","Central Midfield",19,"AJ Auxerre","Arsenal","2005",3,3,0
"1385","Second Striker",23,"FC Midtjylland","Werder Bremen","2005",3,3,0
"1386","Left-Back",26,"Spurs","Stade Rennais","2005",3,3,0
"1387","Centre-Back",25,"Club Brugge","Paris SG","2005",2.5,3,0.5
"1388","Central Midfield",29,"Paris SG","FK Moskau","2005",2.5,3,0.5
"1389","Central Midfield",24,"Feyenoord","Spurs","2005",2.5,3,0.5
"1390","Centre-Forward",24,"Guingamp","FC Sochaux","2005",2.5,3,0.5
"1391","Central Midfield",24,"RCD Mallorca","Espanyol","2005",2.5,3,0.5
"1392","Centre-Forward",27,"Everton","Charlton","2005",2.25,3,0.75
"1393","Left Winger",20,"Crystal Palace","Spurs","2005",2.25,3,0.75
"1394","Centre-Back",25,"Torpedo Moscow","Loko Moscow","2005",2,3,1
"1395","Centre-Forward",28,"Leicester","Wigan","2005",2,3,1
"1396","Attacking Midfield",21,"Argentinos","RCD Mallorca","2005",1.75,3,1.25
"1397","Defensive Midfield",26,"Cruzeiro","Santos FC","2005",1.5,3,1.5
"1398","Right Winger",16,"Chivas","Arsenal","2005",1,3,2
"1399","Centre-Back",23,"Bologna","Fiorentina","2005",0.3,3,2.7
"1406","Central Midfield",23,"Real Sociedad","Everton","2005",8,2.8,-5.2
"1407","Centre-Back",22,"Bay. Leverkusen","Middlesbrough","2005",3,2.71,-0.29
"1408","Centre-Forward",22,"Blackburn","Sunderland","2005",3,2.7,-0.3
"1409","Central Midfield",22,"Cerro Porte?o","Bayern Munich ","2005",2,2.7,0.7
"1410","Central Midfield",22,"Metalurh D.","Olympiacos","2005",2,2.7,0.7
"1412","Centre-Forward",31,"Burnley","Sheffield Utd.","2005",2.75,2.63,-0.12
"1413","Central Midfield",26,"Man Utd","Besiktas","2005",5.5,2.6,-2.9
"1414","Central Midfield",25,"Juventus","Sevilla FC","2005",7.5,2.5,-5
"1415","Centre-Forward",29,"Bay. Leverkusen","Kashiwa Reysol","2005",5,2.5,-2.5
"1416","Attacking Midfield",21,"Ternana","Fiorentina","2005",4,2.5,-1.5
"1417","Attacking Midfield",26,"Feyenoord","Urawa Reds","2005",3.75,2.5,-1.25
"1418","Centre-Forward",26,"AFC Ajax","Bor. M'gladbach","2005",3.5,2.5,-1
"1419","Left-Back",23,"Spurs","Hamburger SV","2005",3,2.5,-0.5
"1420","Centre-Forward",24,"Independiente","RSC Anderlecht","2005",3,2.5,-0.5
"1421","Attacking Midfield",26,"Sparta Praha","Manisaspor","2005",2.5,2.5,0
"1422","Goalkeeper",31,"FC Porto","Dinamo Moscow","2005",2.5,2.5,0
"1423","Centre-Forward",29,"Kashima Antlers","Red Star","2005",2.5,2.5,0
"1424","Right Winger",23,"FC Lorient","OGC Nice","2005",2.25,2.5,0.25
"1425","Right Winger",25,"Real Zaragoza","Atlético Madrid","2005",2,2.5,0.5
"1426","Centre-Back",28,"Braga","RCD Mallorca","2005",1.5,2.5,1
"1427","Left Winger",20,"Albacete","Liverpool","2005",1.5,2.5,1
